id,titulo,categoria,contenido,fuente,ciudad,fecha_actualizacion
login-001,Como iniciar sesion en RenovaRed,login,"Visita renovared.vercel.app, haz clic en 'Iniciar sesion' (esquina superior derecha). Ingresa tu email y contraseña. Si es correcto, veras tu panel.",Manual de usuario,General,2026-04-02
login-002,Registro de nuevo usuario,login,"En la pagina principal, haz clic en 'Registrarse'. Completa nombre, email, telefono y crea una contraseña segura. Recibiras un correo de verificacion.",Guia RenovaRed,General,2026-04-02
login-003,Recuperar contraseña olvidada,login,"En la pantalla de 'Iniciar sesion', haz clic en '¿Olvidaste tu contraseña?'. Ingresa tu email. Recibiras un enlace para crear una nueva.",Soporte tecnico,General,2026-04-02
login-004,Error de credenciales,login,"Si al loguearte ves 'usuario o contraseña incorrectos', verifica mayusculas, tildes y que el email este bien escrito. Usa la opcion 'mostrar contraseña'.",FAQ,General,2026-04-02
login-005,Acceso con Google,login,"En la pantalla de login, tambien puedes usar el boton 'Acceder con Google'. Se abrira una ventana para elegir tu cuenta de Google.",Manual de usuario,General,2026-04-02
intercambio-001,Como publicar un material para intercambiar,intercambios,"Una vez logueado, ve a 'Intercambios' > 'Nueva publicacion'. Selecciona categoria (carton, plastico, RAEE, etc), agrega foto, descripcion, cantidad y ubicacion. Haz clic en 'Publicar'.",Guia RenovaRed,General,2026-04-02
intercambio-002,Responder a un intercambio disponible,intercambios,"En el muro de intercambios, busca un material que te interese. Haz clic en 'Interesado' o 'Contactar'. Se abrira un chat interno con el publicante para acordar entrega.",Manual de usuario,General,2026-04-02
intercambio-003,Gestionar solicitudes recibidas,intercambios,"Cuando alguien solicita tu material, recibiras una notificacion. Ve a 'Mis publicaciones' > 'Solicitudes'. Ahi puedes aceptar, rechazar o chatear con el interesado.",Ayuda RenovaRed,General,2026-04-02
intercambio-004,Cerrar un intercambio exitoso,intercambios,"Despues de entregar/recibir el material, ambas partes deben ir a la solicitud y marcar 'Completar intercambio'. Esto suma reputacion positiva.",Manual de usuario,General,2026-04-02
intercambio-005,Reportar problema en un intercambio,intercambios,"Si hubo un incumplimiento, ve al chat de la solicitud, haz clic en '...' y selecciona 'Reportar'. Explica el motivo. El equipo de RenovaRed mediara.",Soporte tecnico,General,2026-04-02
reciclaje-carton-001,Reciclaje de carton limpio,reciclaje,"El carton limpio y seco se puede reciclar. Evita mezclarlo con restos de comida.",Guia RenovaRed,General,2026-04-02
